sample_id,noise_type,snr_in_target,SNR_in,SNR_out,SNR_imp,PRD,RMSE
870,MA,7,15.329809683101306,26.477330856847622,11.147521173746316,4.743877405381919,0.012330338882878973
871,MA,0,7.120271480981253,22.863941474195588,15.743669993214336,7.191225812373214,0.01790604077954421
872,BW+EM,5,9.788910935961345,25.90305320080491,16.114142264843565,5.068125259037715,0.03494973866219539
873,EM,7,11.44077341841241,27.952927553536263,16.51215413512385,4.002705355866276,0.029090157786989607
874,EM,0,7.874178462772773,23.80971547648293,15.935537013710157,6.449324455616082,0.044349708284619746
875,MA+EM,7,10.885839877633845,29.981259843517627,19.09541996588378,3.1691077669606695,0.022985716004944482
876,BW+EM,5,14.844785707451791,27.017551192607165,12.172765485155374,4.45781909695787,0.0221963451504187
877,BW+MA,10,22.197438845967188,22.96575917644788,0.7683203304806909,7.107421000548597,0.029932608387350693
878,EM,5,11.896004585493076,23.856307978525724,11.960303393032648,6.414821868566212,0.021911155144463255
879,MA,10,17.183858452325886,25.815123078268336,8.63126462594245,5.119692134672339,0.016944852508403302
880,MA,10,17.398299703346446,29.08216850043499,11.683868797088543,3.5147268166381243,0.016111066659230913
881,MA+EM,0,9.341791345738788,22.881414152664515,13.539622806925728,7.1767743644999635,0.01726914152816149
882,MA,10,17.262616642690027,26.682320518252883,9.419703875562856,4.633231220094621,0.016981676970928294
883,EM,10,15.695802680335355,18.255521941824956,2.559719261489601,12.224297281030717,0.07841206434910157
884,MA,5,10.397440823263596,20.70010973187348,10.302668908609883,9.225597720617477,0.01941633990038624
885,MA,10,16.80284026971706,17.747435704024017,0.944595434306958,12.960692737202889,0.08488084775685953
886,MA,7,13.545968409919487,20.8693855765662,7.323417166646712,9.04754436095139,0.027119446985384404
887,EM,5,10.323327716647254,25.256671536538903,14.933343819891649,5.459670374993002,0.04348661542243842
888,EM,0,7.497713113538347,20.990405804851452,13.492692691313106,8.922359333422428,0.07019517733098608
889,MA,5,11.453309058813137,26.76011407192188,15.306805013108743,4.591919822219208,0.012496278713257591
890,EM,10,16.499651404171594,24.637903220325008,8.138251816153414,5.8627967574595505,0.02119452218720311
891,BW+MA,0,7.598813717390648,22.589838244541106,14.991024527150458,7.421780190321796,0.02406535294487238
892,BW+EM,5,10.893774738293775,25.735727113448977,14.841952375155202,5.166704746646336,0.0131098434719654
893,MA,0,8.147762634325401,15.419645190270732,7.27188255594533,16.94407013831336,0.11184633594792627
894,BW,10,16.758699716751032,16.954877468809073,0.19617775205804122,14.198946622294478,0.0888641831324837
895,MA,10,17.292162948041227,23.765705468995964,6.473542520954737,6.482085072911785,0.028905564274983444
896,MA+EM+BW,5,12.067968935576989,21.685538741603864,9.617569806026875,8.236127534001607,0.03864653244951707
897,EM,7,15.280377633337896,7.245062369542091,-8.035315263795805,43.425705373851144,0.23974777786656726
898,MA,7,11.620936367950613,26.61238224414653,14.991445876195918,4.670688325062476,0.03476769699967833
899,EM,10,17.436253733166417,27.498034318949458,10.06178058578304,4.217919472648438,0.017292628662110968
900,BW,7,12.40674995325552,26.153877117136595,13.747127163881075,4.923865079176985,0.011888167736325424
901,BW+MA,10,14.155396812163,22.80350866445516,8.648111852292159,7.241433833214665,0.020382650986211184
902,MA,0,8.452637390936964,24.40089730167908,15.948259910742117,6.024973414656553,0.019830896819976192
903,MA,10,13.232673084136133,26.099147625684623,12.86647454154849,4.954988133128734,0.023211654138136313
904,BW+MA,7,13.209248246394674,24.677930540272662,11.468682293877988,5.835841297558577,0.01859236264039616
905,MA+EM+BW,0,7.907717740114051,21.36421207822053,13.456494338106477,8.546521629767753,0.022930950207896972
906,EM,10,13.602318771348095,30.04152943059243,16.439210659244335,3.1471941004350885,0.02409033043904048
907,MA,10,14.561622326441393,24.509349234522695,9.947726908081302,5.950213353633787,0.035947708478535886
908,MA+EM,0,8.507223869464466,25.676930297078023,17.169706427613555,5.201798021532287,0.019788804941891208
909,MA,10,16.75650490116035,24.651431179468183,7.894926278307832,5.853672770416161,0.015177366587702386
910,MA,0,8.230178564036501,24.726239789060898,16.4960612250244,5.803473564869071,0.026139548128562826
911,MA+EM+BW,10,16.858838385082052,26.045571282140877,9.186732897058825,4.98564596791896,0.018132277220502917
912,EM,5,11.226847243023798,23.081888553364106,11.855041310340308,7.013027991582859,0.01688888081936877
913,BW+EM,0,10.897844137154536,24.561867341030947,13.664023203876411,5.914344706234669,0.025323279910200197
914,MA,5,12.400342967631612,22.038921462521177,9.638578494889565,7.907768136223551,0.04805598617828594
915,BW+MA,7,16.327885575193964,22.13995495112615,5.812069375932186,7.816318584671082,0.05023223432125781
916,BW,7,9.922324449862527,30.297343155242046,20.375018705379517,3.0558556971145414,0.023549816407878888
917,MA+EM,0,6.880426160563665,24.61176691210138,17.731340751537715,5.88046479635511,0.04444710215137328
918,EM,10,16.516756965093865,26.273978813085726,9.757221847991861,4.856250259428854,0.014396708074285124
919,MA,5,9.354142551252947,25.778571217737152,16.424428666484204,5.141282159612867,0.039086311087534596
920,EM,10,16.412511153704287,26.303741246473805,9.891230092769518,4.839638664191895,0.01642231687250499
921,EM,0,6.733971180193809,20.574658957624226,13.840687777430418,9.35981041545223,0.06574846171248638
922,EM,10,16.06520492566314,27.724715913745925,11.659510988082786,4.1092655221429615,0.011608960980608023
923,BW+EM,5,12.053802215497827,25.020113693314393,12.966311477816566,5.610406322842629,0.018664759331962367
924,EM,7,12.144579213034037,20.797792413000224,8.653213199966187,9.122426635249576,0.021154185567697107
925,EM,10,17.47528207392002,19.033170198895323,1.5578881249753032,11.177417937805084,0.02193759818215762
926,EM,0,8.234532558834017,20.488571607772986,12.254039048938969,9.45303834621848,0.058238641506211115
927,EM,10,16.164325638459637,27.854767409996825,11.690441771537188,4.048196914281131,0.0180776828595416
928,MA,7,13.926355984865786,28.01101161656039,14.084655631694602,3.976027863090604,0.015835804729061966
929,MA,0,10.049570749040983,25.231308417670295,15.181737668629312,5.475636113265637,0.032293598865571954
930,EM,10,13.337223821141395,28.149250728257677,14.812026907116282,3.913248825672984,0.029901362064563224
931,BW+EM,5,12.468128362247503,24.481233935762322,12.01310557351482,5.969504765187937,0.011612114748775595
932,MA,10,14.944308134507867,27.712252652276767,12.7679445177689,4.115166082028146,0.010159859504309117
933,MA,0,7.296043617028051,24.06973362806848,16.77369001104043,6.259120585986105,0.015435245188508258
934,MA,7,12.019623038073874,21.359021713382912,9.339398675309038,8.551630239668896,0.01735447687823965
935,BW+MA,10,14.699523910084547,29.56595168508948,14.866427775004933,3.3243168869762036,0.0086744785629021
936,EM,7,13.50680509232749,27.192112689081192,13.685307596753702,4.369123949301516,0.02341935243454476
937,MA,5,13.70678654468168,29.45858147867593,15.751794933994251,3.365665306791309,0.013300949925381377
938,MA,5,11.00710324077107,25.936825333849765,14.929722093078695,5.048457834398374,0.0375749779610283
939,MA,5,11.748844028771286,23.11526913327804,11.366425104506755,6.98612807734153,0.028504729729419198
940,EM,7,12.777986501050982,19.568773087458794,6.790786586407812,10.508998876969935,0.05731971212407566
